"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MountingHole";"NPTH_2.7mm";1;"NPTH_2.7mm";;;
2;"G***";"qrcode_fosdem10";1;"LOGO";;;
3;",";"OLIMEX_LOGO_TB";2;"";;;
4;"";"LOGO_PBFREE";1;"";;;
5;"";"LOGO_RECYCLEBIN_1";1;"";;;
6;"R10,R6,R1,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"1.5K";;;
7;"LED2,LED1";"LED-3mm-PTH-KA";2;"LED_AK";;;
8;"G***,G***";"LOGO_FOSDEM_10x10";2;"LOGO";;;
9;"SPK1";"SPEAKER_28mm";1;"8R";;;
10;"C4";"CP_Radial_D6.3mm_P2.50mm";1;"220uF_16V";;;
11;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"10uF";;;
12;"SW1";"SW_TH_Tactile_Omron_B3F-10xx";1;"T1101GP(6x3x4.3MM)";;;
13;"R5,R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10K";;;
14;"R2,R8,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"22R";;;
15;"U1";"DIP-8_W7.62mm_Socket";1;"ATTINY85-20PU";;;
16;"U2";"DIP-8_W7.62mm_Socket";1;"LM386N";;;
17;"USB1";"USB-B-EDGE";1;"USB_B";;;
18;"R4";"R_PHOTO";1;"SNS-LDR5MM";;;
19;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
20;"C2";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"100 nF";;;
21;"C3";"C_Disc_D4.3mm_W1.9mm_P5.00mm";1;"100nF";;;
22;"G***";"LOGO_OPENHARDWARE_100";1;"LOGO";;;
23;"G***";"LOGO_OPENHARDWARE_8";1;"LOGO";;;
24;"G***";"LOGO_OPENHARDWARE_100";1;"LOGO";;;
